Passo,Estado,Taxa Configurada (Mbps),Bytes Transmitidos
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,1,10,6557600
7,2,50,32772600
8,2,50,32772600
9,1,10,6557600
10,2,50,32772600
11,2,50,32772600
12,1,10,6557600
13,2,50,32772600
14,0,0,0
15,1,10,6557600
16,1,10,6557600
17,0,0,0
18,0,0,0
19,0,0,0
20,2,50,32772600
21,2,50,32772600
22,2,50,32772600
23,2,50,32772600
24,2,50,32772600
25,0,0,0
26,0,0,0
27,1,10,6557600
28,2,50,32772600
29,1,10,6557600
30,2,50,32772600
31,2,50,32772600
32,0,0,0
33,1,10,6557600
34,2,50,32772600
35,1,10,6557600
36,1,10,6557600
37,1,10,6557600
38,2,50,32772600
39,2,50,32772600
40,2,50,32772600
41,2,50,32772600
42,1,10,6557600
43,1,10,6557600
44,1,10,6557600
45,1,10,6557600
46,1,10,6557600
47,2,50,32772600
48,2,50,32772600
49,2,50,32772600
50,1,10,6557600
51,1,10,6557600
52,1,10,6557600
53,1,10,6557600
54,1,10,6557600
55,1,10,6557600
56,1,10,6557600
57,1,10,6557600
58,1,10,6557600
59,1,10,6557600
60,1,10,6557600
61,1,10,6557600
62,0,0,0
63,1,10,6557600
64,1,10,6557600
65,1,10,6557600
66,0,0,0
67,1,10,6557600
68,0,0,0
69,0,0,0
70,1,10,6557600
71,1,10,6557600
72,1,10,6557600
73,1,10,6557600
74,2,50,32772600
75,2,50,32772600
76,1,10,6557600
77,1,10,6557600
78,1,10,6557600
79,0,0,0
80,0,0,0
81,1,10,6557600
82,1,10,6557600
83,1,10,6557600
84,2,50,32772600
85,2,50,32772600
86,2,50,32772600
87,2,50,32772600
88,2,50,32772600
89,2,50,32772600
90,2,50,32772600
91,2,50,32772600
92,2,50,32772600
93,1,10,6557600
94,2,50,32772600
95,2,50,32772600
96,2,50,32772600
97,2,50,32772600
98,2,50,32772600
99,2,50,32772600
100,2,50,32772600
101,2,50,32772600
102,2,50,32772600
103,2,50,32772600
104,0,0,0
105,0,0,0
106,2,50,32772600
107,0,0,0
108,0,0,0
